iter	Passed	Remaining
0	3	3551
1	6	3098
2	8	2754
3	13	3442
4	15	3132
5	17	2967
6	20	2914
7	22	2752
8	24	2717
9	27	2697
10	29	2682
11	31	2614
12	33	2571
13	36	2550
14	38	2501
15	40	2483
16	43	2506
17	45	2486
18	48	2484
19	49	2441
20	52	2426
21	54	2401
22	57	2429
23	60	2450
24	62	2439
25	64	2430
26	67	2429
27	69	2403
28	71	2392
29	73	2391
30	76	2382
31	78	2371
32	80	2365
33	82	2355
34	85	2349
35	87	2337
36	89	2338
37	91	2327
38	94	2320
39	96	2311
40	98	2305
41	100	2296
42	102	2287
43	105	2298
44	107	2284
45	109	2273
46	111	2264
47	113	2254
48	115	2244
49	117	2241
50	120	2241
51	123	2243
52	125	2239
53	127	2233
54	129	2218
55	131	2217
56	133	2208
57	136	2210
58	138	2205
59	140	2205
60	142	2198
61	145	2201
62	147	2201
63	151	2212
64	154	2215
65	157	2223
66	160	2236
67	170	2335
68	180	2432
69	184	2454
70	189	2484
71	195	2518
72	202	2571
73	204	2565
74	207	2560
75	210	2558
76	213	2560
77	217	2575
78	222	2594
79	226	2601
80	229	2600
81	232	2605
82	236	2608
83	242	2642
84	248	2671
85	251	2674
86	254	2673
87	258	2677
88	262	2689
89	265	2688
90	269	2687
91	271	2682
92	274	2678
93	277	2676
94	280	2671
95	283	2666
96	285	2658
97	288	2656
98	291	2652
99	293	2644
100	296	2640
101	299	2633
102	300	2620
103	303	2616
104	306	2610
105	308	2603
106	311	2597
107	314	2593
108	317	2592
109	319	2588
110	322	2585
111	325	2578
112	328	2580
113	331	2579
114	334	2574
115	337	2568
116	339	2565
117	342	2560
118	345	2556
119	347	2551
120	351	2550
121	353	2542
122	355	2536
123	358	2531
124	361	2532
125	364	2527
126	367	2525
127	369	2519
128	372	2513
129	374	2505
130	377	2506
131	380	2499
132	382	2496
133	386	2496
134	388	2492
135	391	2487
136	394	2484
137	397	2481
138	401	2488
139	405	2492
140	410	2499
141	414	2504
142	418	2507
143	422	2513
144	427	2519
145	430	2518
146	434	2522
147	461	2656
148	469	2680
149	472	2675
150	475	2673
151	478	2670
152	481	2663
153	484	2659
154	486	2654
155	490	2651
156	493	2650
157	498	2656
158	502	2659
159	505	2654
160	509	2655
161	514	2660
162	517	2659
163	522	2661
164	525	2656
165	527	2650
166	530	2645
167	533	2641
168	536	2639
169	539	2634
170	542	2627
171	544	2621
172	546	2614
173	548	2604
174	551	2601
175	554	2596
176	557	2590
177	559	2582
178	561	2575
179	564	2573
180	567	2569
181	570	2562
182	572	2557
183	575	2550
184	578	2547
185	580	2539
186	583	2535
187	586	2531
188	589	2528
189	592	2526
190	595	2523
191	598	2520
192	601	2514
193	603	2508
194	607	2505
195	610	2502
196	613	2498
197	615	2492
198	618	2490
199	622	2490
200	624	2484
201	627	2479
202	630	2476
203	633	2471
204	636	2468
205	639	2464
206	642	2462
207	645	2456
208	647	2451
209	650	2448
210	653	2442
211	656	2438
212	659	2436
213	662	2432
214	665	2428
215	668	2427
216	672	2426
217	675	2421
218	678	2419
219	681	2414
220	683	2409
221	685	2403
222	689	2400
223	691	2395
224	695	2394
225	698	2393
226	701	2389
227	704	2386
228	708	2385
229	712	2384
230	716	2385
231	720	2384
232	734	2417
233	739	2421
234	744	2422
235	747	2420
236	751	2419
237	757	2424
238	760	2421
239	763	2416
240	766	2413
241	769	2409
242	772	2407
243	775	2404
244	779	2401
245	783	2401
246	787	2400
247	790	2398
248	793	2393
249	796	2389
250	800	2389
251	809	2403
252	812	2400
253	815	2396
254	818	2392
255	822	2389
256	824	2384
257	827	2379
258	829	2374
259	832	2368
260	834	2363
261	836	2357
262	839	2352
263	842	2348
264	844	2342
265	847	2337
266	849	2332
267	851	2326
268	854	2320
269	856	2315
270	859	2311
271	861	2306
272	864	2301
